question_id,subject_name,unit_number,topic_name,question_text,difficulty_level,requires_diagram,marks
48,Operating System,1,System Calls,Explain system calls with example.,Medium,No,3
49,Operating System,1,OS Structure,What is os structure?,Easy,No,1
50,Operating System,1,Types of OS,Explain types of os with example.,Medium,No,3
51,Operating System,2,Process,What is process?,Easy,Yes,1
52,Operating System,2,Thread,Explain thread with example.,Medium,No,3
53,Operating System,2,Concurrency,What is concurrency?,Easy,No,1
54,Operating System,2,Semaphore,Explain semaphore with example.,Medium,No,3
55,Operating System,2,Deadlock,What is deadlock?,Easy,No,1
56,Operating System,2,Process,Explain process with example.,Medium,No,3
57,Operating System,2,Thread,What is thread?,Easy,No,1
58,Operating System,2,Concurrency,Explain concurrency with example.,Medium,No,3
59,Operating System,2,Semaphore,What is semaphore?,Easy,No,1
60,Operating System,2,Deadlock,Explain deadlock with example.,Medium,No,3
61,Operating System,2,Process,What is process?,Easy,Yes,1
62,Operating System,2,Thread,Explain thread with example.,Medium,No,3
63,Operating System,2,Concurrency,What is concurrency?,Easy,No,1
64,Operating System,2,Semaphore,Explain semaphore with example.,Medium,No,3
65,Operating System,2,Deadlock,What is deadlock?,Easy,No,1
66,Operating System,2,Process,Explain process with example.,Medium,No,3
67,Operating System,2,Thread,What is thread?,Easy,No,1
68,Operating System,2,Concurrency,Explain concurrency with example.,Medium,No,3
69,Operating System,2,Semaphore,What is semaphore?,Easy,No,1
70,Operating System,2,Deadlock,Explain deadlock with example.,Medium,No,3
71,Operating System,2,Process,What is process?,Easy,Yes,1
72,Operating System,2,Thread,Explain thread with example.,Medium,No,3
73,Operating System,2,Concurrency,What is concurrency?,Easy,No,1
74,Operating System,2,Semaphore,Explain semaphore with example.,Medium,No,3
75,Operating System,2,Deadlock,What is deadlock?,Easy,No,1
76,Operating System,2,Process,Explain process with example.,Medium,No,3
77,Operating System,2,Thread,What is thread?,Easy,No,1
78,Operating System,2,Concurrency,Explain concurrency with example.,Medium,No,3
79,Operating System,2,Semaphore,What is semaphore?,Easy,No,1
80,Operating System,2,Deadlock,Explain deadlock with example.,Medium,No,3
81,Operating System,2,Process,What is process?,Easy,Yes,1
82,Operating System,2,Thread,Explain thread with example.,Medium,No,3
83,Operating System,2,Concurrency,What is concurrency?,Easy,No,1
84,Operating System,2,Semaphore,Explain semaphore with example.,Medium,No,3
85,Operating System,2,Deadlock,What is deadlock?,Easy,No,1
86,Operating System,2,Process,Explain process with example.,Medium,No,3
87,Operating System,2,Thread,What is thread?,Easy,No,1
88,Operating System,2,Concurrency,Explain concurrency with example.,Medium,No,3
89,Operating System,2,Semaphore,What is semaphore?,Easy,No,1
90,Operating System,2,Deadlock,Explain deadlock with example.,Medium,No,3
91,Operating System,2,Process,What is process?,Easy,Yes,1
92,Operating System,2,Thread,Explain thread with example.,Medium,No,3
93,Operating System,2,Concurrency,What is concurrency?,Easy,No,1
94,Operating System,2,Semaphore,Explain semaphore with example.,Medium,No,3
95,Operating System,2,Deadlock,What is deadlock?,Easy,No,1
96,Operating System,2,Process,Explain process with example.,Medium,No,3
97,Operating System,2,Thread,What is thread?,Easy,No,1
98,Operating System,2,Concurrency,Explain concurrency with example.,Medium,No,3
99,Operating System,2,Semaphore,What is semaphore?,Easy,No,1
100,Operating System,2,Deadlock,Explain deadlock with example.,Medium,No,3
101,Operating System,3,CPU Scheduling,What is cpu scheduling?,Easy,Yes,1
102,Operating System,3,FCFS,Explain fcfs with example.,Medium,No,3
103,Operating System,3,SJF,What is sjf?,Easy,No,1
104,Operating System,3,Round Robin,Explain round robin with example.,Medium,No,3
105,Operating System,3,Priority Scheduling,What is priority scheduling?,Easy,No,1
106,Operating System,3,CPU Scheduling,Explain cpu scheduling with example.,Medium,No,3
107,Operating System,3,FCFS,What is fcfs?,Easy,No,1
108,Operating System,3,SJF,Explain sjf with example.,Medium,No,3
109,Operating System,3,Round Robin,What is round robin?,Easy,No,1
110,Operating System,3,Priority Scheduling,Explain priority scheduling with example.,Medium,No,3
111,Operating System,3,CPU Scheduling,What is cpu scheduling?,Easy,Yes,1
112,Operating System,3,FCFS,Explain fcfs with example.,Medium,No,3
113,Operating System,3,SJF,What is sjf?,Easy,No,1
114,Operating System,3,Round Robin,Explain round robin with example.,Medium,No,3
115,Operating System,3,Priority Scheduling,What is priority scheduling?,Easy,No,1
116,Operating System,3,CPU Scheduling,Explain cpu scheduling with example.,Medium,No,3
117,Operating System,3,FCFS,What is fcfs?,Easy,No,1
118,Operating System,3,SJF,Explain sjf with example.,Medium,No,3
119,Operating System,3,Round Robin,What is round robin?,Easy,No,1
120,Operating System,3,Priority Scheduling,Explain priority scheduling with example.,Medium,No,3
121,Operating System,3,CPU Scheduling,What is cpu scheduling?,Easy,Yes,1
122,Operating System,3,FCFS,Explain fcfs with example.,Medium,No,3
123,Operating System,3,SJF,What is sjf?,Easy,No,1
124,Operating System,3,Round Robin,Explain round robin with example.,Medium,No,3
125,Operating System,3,Priority Scheduling,What is priority scheduling?,Easy,No,1
126,Operating System,3,CPU Scheduling,Explain cpu scheduling with example.,Medium,No,3
127,Operating System,3,FCFS,What is fcfs?,Easy,No,1
128,Operating System,3,SJF,Explain sjf with example.,Medium,No,3
129,Operating System,3,Round Robin,What is round robin?,Easy,No,1
130,Operating System,3,Priority Scheduling,Explain priority scheduling with example.,Medium,No,3
131,Operating System,3,CPU Scheduling,What is cpu scheduling?,Easy,Yes,1
132,Operating System,3,FCFS,Explain fcfs with example.,Medium,No,3
133,Operating System,3,SJF,What is sjf?,Easy,No,1
134,Operating System,3,Round Robin,Explain round robin with example.,Medium,No,3
135,Operating System,3,Priority Scheduling,What is priority scheduling?,Easy,No,1
136,Operating System,3,CPU Scheduling,Explain cpu scheduling with example.,Medium,No,3
137,Operating System,3,FCFS,What is fcfs?,Easy,No,1
138,Operating System,3,SJF,Explain sjf with example.,Medium,No,3
139,Operating System,3,Round Robin,What is round robin?,Easy,No,1
140,Operating System,3,Priority Scheduling,Explain priority scheduling with example.,Medium,No,3
141,Operating System,3,CPU Scheduling,What is cpu scheduling?,Easy,Yes,1
142,Operating System,3,FCFS,Explain fcfs with example.,Medium,No,3
143,Operating System,3,SJF,What is sjf?,Easy,No,1
144,Operating System,3,Round Robin,Explain round robin with example.,Medium,No,3
145,Operating System,3,Priority Scheduling,What is priority scheduling?,Easy,No,1
146,Operating System,3,CPU Scheduling,Explain cpu scheduling with example.,Medium,No,3
147,Operating System,3,FCFS,What is fcfs?,Easy,No,1
148,Operating System,3,SJF,Explain sjf with example.,Medium,No,3
149,Operating System,3,Round Robin,What is round robin?,Easy,No,1
150,Operating System,3,Priority Scheduling,Explain priority scheduling with example.,Medium,No,3
151,Operating System,4,Paging,What is paging?,Easy,Yes,1
152,Operating System,4,Segmentation,Explain segmentation with example.,Medium,No,3
153,Operating System,4,Virtual Memory,What is virtual memory?,Easy,No,1
154,Operating System,4,Page Replacement,Explain page replacement with example.,Medium,No,3
155,Operating System,4,Memory Allocation,What is memory allocation?,Easy,No,1
156,Operating System,4,Paging,Explain paging with example.,Medium,No,3
157,Operating System,4,Segmentation,What is segmentation?,Easy,No,1
158,Operating System,4,Virtual Memory,Explain virtual memory with example.,Medium,No,3
159,Operating System,4,Page Replacement,What is page replacement?,Easy,No,1
160,Operating System,4,Memory Allocation,Explain memory allocation with example.,Medium,No,3
161,Operating System,4,Paging,What is paging?,Easy,Yes,1
162,Operating System,4,Segmentation,Explain segmentation with example.,Medium,No,3
163,Operating System,4,Virtual Memory,What is virtual memory?,Easy,No,1
164,Operating System,4,Page Replacement,Explain page replacement with example.,Medium,No,3
165,Operating System,4,Memory Allocation,What is memory allocation?,Easy,No,1
166,Operating System,4,Paging,Explain paging with example.,Medium,No,3
167,Operating System,4,Segmentation,What is segmentation?,Easy,No,1
168,Operating System,4,Virtual Memory,Explain virtual memory with example.,Medium,No,3
169,Operating System,4,Page Replacement,What is page replacement?,Easy,No,1
170,Operating System,4,Memory Allocation,Explain memory allocation with example.,Medium,No,3
171,Operating System,4,Paging,What is paging?,Easy,Yes,1
172,Operating System,4,Segmentation,Explain segmentation with example.,Medium,No,3
173,Operating System,4,Virtual Memory,What is virtual memory?,Easy,No,1
174,Operating System,4,Page Replacement,Explain page replacement with example.,Medium,No,3
175,Operating System,4,Memory Allocation,What is memory allocation?,Easy,No,1
176,Operating System,4,Paging,Explain paging with example.,Medium,No,3
177,Operating System,4,Segmentation,What is segmentation?,Easy,No,1
178,Operating System,4,Virtual Memory,Explain virtual memory with example.,Medium,No,3
179,Operating System,4,Page Replacement,What is page replacement?,Easy,No,1
180,Operating System,4,Memory Allocation,Explain memory allocation with example.,Medium,No,3
181,Operating System,4,Paging,What is paging?,Easy,Yes,1
182,Operating System,4,Segmentation,Explain segmentation with example.,Medium,No,3
183,Operating System,4,Virtual Memory,What is virtual memory?,Easy,No,1
184,Operating System,4,Page Replacement,Explain page replacement with example.,Medium,No,3
185,Operating System,4,Memory Allocation,What is memory allocation?,Easy,No,1
186,Operating System,4,Paging,Explain paging with example.,Medium,No,3
187,Operating System,4,Segmentation,What is segmentation?,Easy,No,1
188,Operating System,4,Virtual Memory,Explain virtual memory with example.,Medium,No,3
189,Operating System,4,Page Replacement,What is page replacement?,Easy,No,1
190,Operating System,4,Memory Allocation,Explain memory allocation with example.,Medium,No,3
191,Operating System,4,Paging,What is paging?,Easy,Yes,1
192,Operating System,4,Segmentation,Explain segmentation with example.,Medium,No,3
193,Operating System,4,Virtual Memory,What is virtual memory?,Easy,No,1
194,Operating System,4,Page Replacement,Explain page replacement with example.,Medium,No,3
195,Operating System,4,Memory Allocation,What is memory allocation?,Easy,No,1
196,Operating System,4,Paging,Explain paging with example.,Medium,No,3
197,Operating System,4,Segmentation,What is segmentation?,Easy,No,1
198,Operating System,4,Virtual Memory,Explain virtual memory with example.,Medium,No,3
199,Operating System,4,Page Replacement,What is page replacement?,Easy,No,1
200,Operating System,4,Memory Allocation,Explain memory allocation with example.,Medium,No,3
201,Operating System,5,I/O System,What is i/o system?,Easy,Yes,1
202,Operating System,5,Disk Scheduling,Explain disk scheduling with example.,Medium,No,3
203,Operating System,5,RAID,What is raid?,Easy,No,1
204,Operating System,5,File System,Explain file system with example.,Medium,No,3
205,Operating System,5,Directory,What is directory?,Easy,No,1
206,Operating System,5,I/O System,Explain i/o system with example.,Medium,No,3
207,Operating System,5,Disk Scheduling,What is disk scheduling?,Easy,No,1
208,Operating System,5,RAID,Explain raid with example.,Medium,No,3
209,Operating System,5,File System,What is file system?,Easy,No,1
210,Operating System,5,Directory,Explain directory with example.,Medium,No,3
211,Operating System,5,I/O System,What is i/o system?,Easy,Yes,1
212,Operating System,5,Disk Scheduling,Explain disk scheduling with example.,Medium,No,3
213,Operating System,5,RAID,What is raid?,Easy,No,1
214,Operating System,5,File System,Explain file system with example.,Medium,No,3
215,Operating System,5,Directory,What is directory?,Easy,No,1
216,Operating System,5,I/O System,Explain i/o system with example.,Medium,No,3
217,Operating System,5,Disk Scheduling,What is disk scheduling?,Easy,No,1
218,Operating System,5,RAID,Explain raid with example.,Medium,No,3
219,Operating System,5,File System,What is file system?,Easy,No,1
220,Operating System,5,Directory,Explain directory with example.,Medium,No,3
221,Operating System,5,I/O System,What is i/o system?,Easy,Yes,1
222,Operating System,5,Disk Scheduling,Explain disk scheduling with example.,Medium,No,3
223,Operating System,5,RAID,What is raid?,Easy,No,1
224,Operating System,5,File System,Explain file system with example.,Medium,No,3
225,Operating System,5,Directory,What is directory?,Easy,No,1
226,Operating System,5,I/O System,Explain i/o system with example.,Medium,No,3
227,Operating System,5,Disk Scheduling,What is disk scheduling?,Easy,No,1
228,Operating System,5,RAID,Explain raid with example.,Medium,No,3
229,Operating System,5,File System,What is file system?,Easy,No,1
230,Operating System,5,Directory,Explain directory with example.,Medium,No,3
231,Operating System,5,I/O System,What is i/o system?,Easy,Yes,1
232,Operating System,5,Disk Scheduling,Explain disk scheduling with example.,Medium,No,3
233,Operating System,5,RAID,What is raid?,Easy,No,1
234,Operating System,5,File System,Explain file system with example.,Medium,No,3
235,Operating System,5,Directory,What is directory?,Easy,No,1
236,Operating System,5,I/O System,Explain i/o system with example.,Medium,No,3
237,Operating System,5,Disk Scheduling,What is disk scheduling?,Easy,No,1
238,Operating System,5,RAID,Explain raid with example.,Medium,No,3
239,Operating System,5,File System,What is file system?,Easy,No,1
240,Operating System,5,Directory,Explain directory with example.,Medium,No,3
241,Operating System,5,I/O System,What is i/o system?,Easy,Yes,1
242,Operating System,5,Disk Scheduling,Explain disk scheduling with example.,Medium,No,3
243,Operating System,5,RAID,What is raid?,Easy,No,1
244,Operating System,5,File System,Explain file system with example.,Medium,No,3
245,Operating System,5,Directory,What is directory?,Easy,No,1
246,Operating System,5,I/O System,Explain i/o system with example.,Medium,No,3
247,Operating System,5,Disk Scheduling,What is disk scheduling?,Easy,No,1
248,Operating System,5,RAID,Explain raid with example.,Medium,No,3
249,Operating System,5,File System,What is file system?,Easy,No,1
250,Operating System,5,Directory,Explain directory with example.,Medium,No,3
